Z,symbol,element,group,period,Z_eff,EA_eV,sigma,Pe,pe_zone,pauling_EN,discovery_year,discovery_tradition,hund_flag
44,Ru,Ruthenium,8,5,7.15,1.046,36.85,0.203,COHERENT,2.2,1844,russian_imperial,
45,Rh,Rhodium,9,5,7.5,1.137,37.5,0.2274,COHERENT,2.28,1803,british_enlightenment,
46,Pd,Palladium,10,5,7.85,0.562,38.15,0.1156,COHERENT,2.2,1803,british_enlightenment,
47,Ag,Silver,11,5,8.2,1.302,38.8,0.2752,COHERENT,1.93,4000 BCE,antiquity_roman,
48,Cd,Cadmium,12,5,8.55,0.0,39.45,0.0,COHERENT (constraint pole),1.69,1817,german_romantic,
49,In,Indium,13,5,7.22,0.404,41.78,0.0698,COHERENT,1.78,1863,german_romantic,
50,Sn,Tin,14,5,7.64,1.112,42.36,0.2006,COHERENT,1.96,3000 BCE,antiquity_roman,
51,Sb,Antimony,15,5,8.267,1.047,42.733,0.2025,COHERENT,2.05,3000 BCE,antiquity_roman,
52,Te,Tellurium,16,5,8.8,1.971,43.2,0.4015,COHERENT,2.1,1782,german_alchemy,
53,I,Iodine,17,5,9.54,3.059,43.46,0.6715,COHERENT,2.66,1811,french_belle_epoque,
54,Xe,Xenon,18,5,10.25,0.0,43.75,0.0,COHERENT (constraint pole),2.6,1898,british_victorian,
55,Cs,Caesium,1,6,5.22,0.472,49.78,0.0495,COHERENT,0.79,1860,german_romantic,
56,Ba,Barium,2,6,6.33,0.145,49.67,0.0185,COHERENT,0.89,1808,british_enlightenment,
58,Ce,Cerium,lanthanide,6,5.66,0.652,52.34,0.0705,COHERENT,1.12,1803,swedish_chemistry,
60,Nd,Neodymium,lanthanide,6,6.05,1.916,53.95,0.2149,COHERENT,1.14,1885,german_romantic,
62,Sm,Samarium,lanthanide,6,6.44,0.162,55.56,0.0188,COHERENT,1.17,1879,french_belle_epoque,
63,Eu,Europium,lanthanide,6,6.58,0.116,56.42,0.0135,COHERENT,,1901,french_belle_epoque,Y
64,Gd,Gadolinium,lanthanide,6,6.68,0.5,57.32,0.0583,COHERENT,1.2,1880,french_belle_epoque,Y
72,Hf,Hafnium,4,6,7.25,0.0,64.75,0.0,COHERENT (constraint pole),1.3,1923,danish_romanticism,
73,Ta,Tantalum,5,6,7.6,0.322,65.4,0.0374,COHERENT,1.5,1802,swedish_chemistry,
74,W,Tungsten,6,6,7.95,0.816,66.05,0.0982,COHERENT,2.36,1783,spanish_enlightenment,
75,Re,Rhenium,7,6,8.3,0.15,66.7,0.0187,COHERENT,1.9,1925,german_romantic,Y
76,Os,Osmium,8,6,8.65,1.1,67.35,0.1413,COHERENT,2.2,1803,british_enlightenment,
77,Ir,Iridium,9,6,9.0,1.565,68.0,0.2071,COHERENT,2.2,1803,british_enlightenment,
78,Pt,Platinum,10,6,9.35,2.128,68.65,0.2898,COHERENT,2.28,1735,spanish_enlightenment,
79,Au,Gold,11,6,9.7,2.309,69.3,0.3232,COHERENT,2.54,5000 BCE,antiquity_egyptian,
80,Hg,Mercury,12,6,10.05,0.0,69.95,0.0,COHERENT (constraint pole),2.0,1500 BCE,antiquity_roman,
81,Tl,Thallium,13,6,9.51,0.2,71.49,0.0266,COHERENT,1.62,1861,british_victorian,
82,Pb,Lead,14,6,10.12,0.364,71.88,0.0512,COHERENT,2.33,4000 BCE,antiquity_roman,
83,Bi,Bismuth,15,6,10.82,0.946,72.18,0.1418,COHERENT,2.02,1753,french_belle_epoque,
84,Po,Polonium,16,6,11.52,1.9,72.48,0.302,COHERENT,2.0,1898,french_republic,
85,At,Astatine,17,6,12.22,2.8,72.78,0.4701,COHERENT,2.2,1940,american_nuclear,
86,Rn,Radon,18,6,12.92,0.0,73.08,0.0,COHERENT (constraint pole),2.2,1900,german_romantic,
