year,mde_pct,mde_se,mde_severe_pct,mde_severe_se,series_group,series_break_2021,source_table,source_url,note,feature_exposure,raw_adoption,O_exposure,R_exposure,alpha_exposure,algo_hard_exposure,engagement_hard_exposure,algo_plus_engagement_exposure,feature_assumption,interval_start,interval_end,delta_mde_pct,delta_mde_severe_pct,delta_feature_exposure,delta_algo_hard_exposure,delta_engagement_hard_exposure,delta_algo_plus_engagement_exposure,interval_label,crosses_2021_break
2015,12.5,0.33,8.8,0.28,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,29.55,3.14,8.89,9.25,11.41,8.89,8.29,17.18,2011-2023 linear interpolation; 2024 carry-forward from 2023,2014.0,2015,1.0999999999999996,0.6000000000000014,4.654999999999998,1.9749999999999996,2.17,4.145,2014-2015,0
2016,12.8,0.32,9.0,0.27,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,38.085,3.4850000000000003,12.805,11.719999999999999,13.559999999999999,12.805,11.254999999999999,24.06,2011-2023 linear interpolation; 2024 carry-forward from 2023,2015.0,2016,0.3000000000000007,0.1999999999999993,8.535,3.914999999999999,2.965,6.879999999999999,2015-2016,0
2017,13.3,0.35,9.4,0.31,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,46.62,3.83,16.72,14.19,15.709999999999999,16.72,14.219999999999999,30.939999999999998,2011-2023 linear interpolation; 2024 carry-forward from 2023,2016.0,2017,0.5,0.40000000000000036,8.534999999999997,3.914999999999999,2.965,6.879999999999999,2016-2017,0
2018,14.4,0.36,10.0,0.29,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,47.885000000000005,3.8850000000000002,17.35,14.629999999999999,15.904999999999998,17.35,14.989999999999998,32.34,2011-2023 linear interpolation; 2024 carry-forward from 2023,2017.0,2018,1.0999999999999996,0.5999999999999996,1.2650000000000077,0.6300000000000026,0.7699999999999996,1.4000000000000057,2017-2018,0
2019,15.7,0.37,11.1,0.32,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,Percent from Table A.27B line values,49.150000000000006,3.9400000000000004,17.98,15.07,16.099999999999998,17.98,15.76,33.74,2011-2023 linear interpolation; 2024 carry-forward from 2023,2018.0,2019,1.299999999999999,1.0999999999999996,1.2650000000000006,0.629999999999999,0.7700000000000014,1.3999999999999986,2018-2019,0
2020,17.0,0.82,12.0,0.66,legacy_2004_2020,0,A.27B (2020 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt35325/NSDUHFFRPDFWHTMLFiles2020/2020NSDUHFFR102121.htm,SAMHSA cautions comparability vs prior years due 2020 methodology changes,54.19,4.115,21.36,16.405,16.424999999999997,21.36,17.044999999999998,38.405,2011-2023 linear interpolation; 2024 carry-forward from 2023,2019.0,2020,1.3000000000000007,0.9000000000000004,5.039999999999992,3.379999999999999,1.2849999999999984,4.664999999999999,2019-2020,0
2021,20.8,,15.2,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021 weights used in 2024 report series,59.23,4.29,24.740000000000002,17.740000000000002,16.75,24.740000000000002,18.33,43.07,2011-2023 linear interpolation; 2024 carry-forward from 2023,2020.0,2021,3.8000000000000007,3.1999999999999993,5.039999999999999,3.3800000000000026,1.2850000000000001,4.664999999999999,2020-2021,1
2022,19.5,,14.6,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series,59.364999999999995,4.345000000000001,24.700000000000003,17.830000000000002,16.835,24.7,18.424999999999997,43.125,2011-2023 linear interpolation; 2024 carry-forward from 2023,2021.0,2022,-1.3000000000000007,-0.5999999999999996,0.134999999999998,-0.0400000000000027,0.09499999999999886,0.054999999999999716,2021-2022,0
2023,18.1,,13.5,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series,59.5,4.4,24.66,17.92,16.92,24.659999999999997,18.52,43.17999999999999,2011-2023 linear interpolation; 2024 carry-forward from 2023,2022.0,2023,-1.3999999999999986,-1.0999999999999996,0.13500000000000512,-0.0400000000000027,0.09500000000000242,0.05499999999999261,2022-2023,0
2024,15.4,,11.3,,multimode_2021_2024,1,Figure 48 / Table A.36B (2024 annual report),https://www.samhsa.gov/data/sites/default/files/reports/rpt56287/2024-nsduh-annual-national/2024-nsduh-annual-national-html-071425-edited/2024-nsduh-annual-national.htm,Updated 2021-2024 comparable series,59.5,4.4,24.66,17.92,16.92,24.659999999999997,18.52,43.17999999999999,2011-2023 linear interpolation; 2024 carry-forward from 2023,2023.0,2024,-2.700000000000001,-2.1999999999999993,0.0,0.0,0.0,0.0,2023-2024,0
