state,state_abbrev,dataset,year,internet_at_home_pct,standard_error,variable,universe
California,CA,Dec 1998,1998,30.81,0.78,internetAtHome,Household reference person
California,CA,Aug 2000,2000,46.58,0.85,internetAtHome,Household reference person
California,CA,Sep 2001,2001,55.25,0.86,internetAtHome,Household reference person
California,CA,Oct 2003,2003,59.68,0.87,internetAtHome,Household reference person
California,CA,Oct 2007,2007,66.04,0.75,internetAtHome,Household reference person
California,CA,Oct 2009,2009,73.09,0.7,internetAtHome,Household reference person
California,CA,Oct 2010,2010,75.86,0.67,internetAtHome,Household reference person
California,CA,Jul 2011,2011,74.45,0.7,internetAtHome,Household reference person
California,CA,Oct 2012,2012,78.23,0.8,internetAtHome,Household reference person
California,CA,Jul 2013,2013,78.21,0.88,internetAtHome,Household reference person
California,CA,Jul 2015,2015,75.61,0.69,internetAtHome,Household reference person
California,CA,Nov 2017,2017,79.79,0.78,internetAtHome,Household reference person
California,CA,Nov 2019,2019,79.93,0.65,internetAtHome,Household reference person
California,CA,Nov 2021,2021,84.91,0.67,internetAtHome,Household reference person
California,CA,Nov 2023,2023,84.91,0.72,internetAtHome,Household reference person
Colorado,CO,Dec 1998,1998,34.67,1.77,internetAtHome,Household reference person
Colorado,CO,Aug 2000,2000,51.89,1.9,internetAtHome,Household reference person
Colorado,CO,Sep 2001,2001,58.29,1.46,internetAtHome,Household reference person
Colorado,CO,Oct 2003,2003,63.38,1.43,internetAtHome,Household reference person
Colorado,CO,Oct 2007,2007,69.18,1.37,internetAtHome,Household reference person
Colorado,CO,Oct 2009,2009,72.91,1.32,internetAtHome,Household reference person
Colorado,CO,Oct 2010,2010,74.78,1.28,internetAtHome,Household reference person
Colorado,CO,Jul 2011,2011,80.09,1.96,internetAtHome,Household reference person
Colorado,CO,Oct 2012,2012,82.46,1.44,internetAtHome,Household reference person
Colorado,CO,Jul 2013,2013,83.05,1.19,internetAtHome,Household reference person
Colorado,CO,Jul 2015,2015,76.34,2.62,internetAtHome,Household reference person
Colorado,CO,Nov 2017,2017,73.78,2.14,internetAtHome,Household reference person
Colorado,CO,Nov 2019,2019,87.8,1.37,internetAtHome,Household reference person
Colorado,CO,Nov 2021,2021,85.15,1.78,internetAtHome,Household reference person
Colorado,CO,Nov 2023,2023,87.05,1.94,internetAtHome,Household reference person
Connecticut,CT,Dec 1998,1998,31.69,2.09,internetAtHome,Household reference person
Connecticut,CT,Aug 2000,2000,51.0,2.26,internetAtHome,Household reference person
Connecticut,CT,Sep 2001,2001,54.65,1.61,internetAtHome,Household reference person
Connecticut,CT,Oct 2003,2003,63.01,1.55,internetAtHome,Household reference person
Connecticut,CT,Oct 2007,2007,66.41,1.37,internetAtHome,Household reference person
Connecticut,CT,Oct 2009,2009,74.75,1.24,internetAtHome,Household reference person
Connecticut,CT,Oct 2010,2010,76.49,1.22,internetAtHome,Household reference person
Connecticut,CT,Jul 2011,2011,78.01,1.39,internetAtHome,Household reference person
Connecticut,CT,Oct 2012,2012,78.89,1.3,internetAtHome,Household reference person
Connecticut,CT,Jul 2013,2013,79.68,1.48,internetAtHome,Household reference person
Connecticut,CT,Jul 2015,2015,76.37,1.9,internetAtHome,Household reference person
Connecticut,CT,Nov 2017,2017,78.19,2.07,internetAtHome,Household reference person
Connecticut,CT,Nov 2019,2019,78.84,2.0,internetAtHome,Household reference person
Connecticut,CT,Nov 2021,2021,79.08,1.91,internetAtHome,Household reference person
Connecticut,CT,Nov 2023,2023,82.63,1.84,internetAtHome,Household reference person
Delaware,DE,Dec 1998,1998,25.19,1.95,internetAtHome,Household reference person
Delaware,DE,Aug 2000,2000,50.35,2.29,internetAtHome,Household reference person
Delaware,DE,Sep 2001,2001,52.49,1.91,internetAtHome,Household reference person
Delaware,DE,Oct 2003,2003,56.9,1.87,internetAtHome,Household reference person
Delaware,DE,Oct 2007,2007,65.8,1.68,internetAtHome,Household reference person
Delaware,DE,Oct 2009,2009,71.07,1.58,internetAtHome,Household reference person
Delaware,DE,Oct 2010,2010,71.72,1.54,internetAtHome,Household reference person
Delaware,DE,Jul 2011,2011,72.42,1.82,internetAtHome,Household reference person
Delaware,DE,Oct 2012,2012,74.14,1.67,internetAtHome,Household reference person
Delaware,DE,Jul 2013,2013,75.65,1.82,internetAtHome,Household reference person
Delaware,DE,Jul 2015,2015,74.72,1.97,internetAtHome,Household reference person
Delaware,DE,Nov 2017,2017,76.1,2.26,internetAtHome,Household reference person
Delaware,DE,Nov 2019,2019,79.35,1.71,internetAtHome,Household reference person
Delaware,DE,Nov 2021,2021,81.71,1.88,internetAtHome,Household reference person
Delaware,DE,Nov 2023,2023,89.3,1.77,internetAtHome,Household reference person
District of Columbia,DC,Dec 1998,1998,24.23,1.88,internetAtHome,Household reference person
District of Columbia,DC,Aug 2000,2000,39.58,2.2,internetAtHome,Household reference person
District of Columbia,DC,Sep 2001,2001,41.52,1.89,internetAtHome,Household reference person
District of Columbia,DC,Oct 2003,2003,53.16,1.94,internetAtHome,Household reference person
District of Columbia,DC,Oct 2007,2007,58.94,1.72,internetAtHome,Household reference person
District of Columbia,DC,Oct 2009,2009,71.78,1.6,internetAtHome,Household reference person
District of Columbia,DC,Oct 2010,2010,73.4,1.56,internetAtHome,Household reference person
District of Columbia,DC,Jul 2011,2011,71.0,1.54,internetAtHome,Household reference person
District of Columbia,DC,Oct 2012,2012,74.9,1.57,internetAtHome,Household reference person
District of Columbia,DC,Jul 2013,2013,77.74,1.79,internetAtHome,Household reference person
District of Columbia,DC,Jul 2015,2015,73.99,1.36,internetAtHome,Household reference person
District of Columbia,DC,Nov 2017,2017,80.14,1.48,internetAtHome,Household reference person
District of Columbia,DC,Nov 2019,2019,85.33,1.38,internetAtHome,Household reference person
District of Columbia,DC,Nov 2021,2021,85.64,1.47,internetAtHome,Household reference person
District of Columbia,DC,Nov 2023,2023,90.84,1.25,internetAtHome,Household reference person
Florida,FL,Dec 1998,1998,28.03,0.92,internetAtHome,Household reference person
Florida,FL,Aug 2000,2000,43.32,1.03,internetAtHome,Household reference person
Florida,FL,Sep 2001,2001,52.79,1.03,internetAtHome,Household reference person
Florida,FL,Oct 2003,2003,55.67,1.03,internetAtHome,Household reference person
Florida,FL,Oct 2007,2007,64.92,1.01,internetAtHome,Household reference person
Florida,FL,Oct 2009,2009,71.53,0.98,internetAtHome,Household reference person
Florida,FL,Oct 2010,2010,72.02,0.96,internetAtHome,Household reference person
Florida,FL,Jul 2011,2011,74.87,1.01,internetAtHome,Household reference person
Florida,FL,Oct 2012,2012,77.91,0.92,internetAtHome,Household reference person
Florida,FL,Jul 2013,2013,73.85,1.21,internetAtHome,Household reference person
Florida,FL,Jul 2015,2015,71.07,0.98,internetAtHome,Household reference person
Florida,FL,Nov 2017,2017,79.67,0.96,internetAtHome,Household reference person
Florida,FL,Nov 2019,2019,78.17,1.05,internetAtHome,Household reference person
Florida,FL,Nov 2021,2021,76.81,1.06,internetAtHome,Household reference person
Florida,FL,Nov 2023,2023,82.56,0.98,internetAtHome,Household reference person
Georgia,GA,Dec 1998,1998,24.16,1.51,internetAtHome,Household reference person
Georgia,GA,Aug 2000,2000,38.07,1.78,internetAtHome,Household reference person
Georgia,GA,Sep 2001,2001,46.72,1.82,internetAtHome,Household reference person
Georgia,GA,Oct 2003,2003,53.75,1.86,internetAtHome,Household reference person
Georgia,GA,Oct 2007,2007,61.85,1.45,internetAtHome,Household reference person
Georgia,GA,Oct 2009,2009,67.61,1.42,internetAtHome,Household reference person
Georgia,GA,Oct 2010,2010,70.43,1.39,internetAtHome,Household reference person
Georgia,GA,Jul 2011,2011,70.08,1.56,internetAtHome,Household reference person
Georgia,GA,Oct 2012,2012,75.14,1.62,internetAtHome,Household reference person
Georgia,GA,Jul 2013,2013,71.4,1.75,internetAtHome,Household reference person
Georgia,GA,Jul 2015,2015,73.38,1.12,internetAtHome,Household reference person
Georgia,GA,Nov 2017,2017,79.06,1.14,internetAtHome,Household reference person
Georgia,GA,Nov 2019,2019,78.32,1.62,internetAtHome,Household reference person
Georgia,GA,Nov 2021,2021,83.23,1.19,internetAtHome,Household reference person
Georgia,GA,Nov 2023,2023,88.34,1.45,internetAtHome,Household reference person
Hawaii,HI,Dec 1998,1998,30.18,2.25,internetAtHome,Household reference person
Hawaii,HI,Aug 2000,2000,43.81,2.47,internetAtHome,Household reference person
Hawaii,HI,Sep 2001,2001,55.74,1.96,internetAtHome,Household reference person
Hawaii,HI,Oct 2003,2003,54.9,2.06,internetAtHome,Household reference person
Hawaii,HI,Oct 2007,2007,65.27,1.84,internetAtHome,Household reference person
Hawaii,HI,Oct 2009,2009,73.33,1.81,internetAtHome,Household reference person
Hawaii,HI,Oct 2010,2010,71.09,1.81,internetAtHome,Household reference person
Hawaii,HI,Jul 2011,2011,71.59,2.16,internetAtHome,Household reference person
Hawaii,HI,Oct 2012,2012,79.46,1.58,internetAtHome,Household reference person
Hawaii,HI,Jul 2013,2013,75.57,1.9,internetAtHome,Household reference person
Hawaii,HI,Jul 2015,2015,75.75,1.74,internetAtHome,Household reference person
Hawaii,HI,Nov 2017,2017,79.41,1.61,internetAtHome,Household reference person
Hawaii,HI,Nov 2019,2019,86.95,1.42,internetAtHome,Household reference person
Hawaii,HI,Nov 2021,2021,82.98,1.61,internetAtHome,Household reference person
Hawaii,HI,Nov 2023,2023,86.98,1.41,internetAtHome,Household reference person
Idaho,ID,Dec 1998,1998,27.4,1.77,internetAtHome,Household reference person
Idaho,ID,Aug 2000,2000,42.1,1.9,internetAtHome,Household reference person
Idaho,ID,Sep 2001,2001,52.58,1.91,internetAtHome,Household reference person
Idaho,ID,Oct 2003,2003,56.5,2.01,internetAtHome,Household reference person
Idaho,ID,Oct 2007,2007,57.8,2.08,internetAtHome,Household reference person
Idaho,ID,Oct 2009,2009,72.18,1.87,internetAtHome,Household reference person
Idaho,ID,Oct 2010,2010,75.54,1.77,internetAtHome,Household reference person
Idaho,ID,Jul 2011,2011,74.77,2.84,internetAtHome,Household reference person
Idaho,ID,Oct 2012,2012,82.14,1.84,internetAtHome,Household reference person
Idaho,ID,Jul 2013,2013,78.66,2.42,internetAtHome,Household reference person
Idaho,ID,Jul 2015,2015,80.52,2.1,internetAtHome,Household reference person
Idaho,ID,Nov 2017,2017,83.08,1.22,internetAtHome,Household reference person
Idaho,ID,Nov 2019,2019,84.05,1.7,internetAtHome,Household reference person
Idaho,ID,Nov 2021,2021,89.01,1.32,internetAtHome,Household reference person
Idaho,ID,Nov 2023,2023,91.57,0.92,internetAtHome,Household reference person
Illinois,IL,Dec 1998,1998,26.51,1.03,internetAtHome,Household reference person
Illinois,IL,Aug 2000,2000,39.99,1.14,internetAtHome,Household reference person
Illinois,IL,Sep 2001,2001,46.66,1.16,internetAtHome,Household reference person
Illinois,IL,Oct 2003,2003,51.22,1.18,internetAtHome,Household reference person
Illinois,IL,Oct 2007,2007,63.05,1.2,internetAtHome,Household reference person
Illinois,IL,Oct 2009,2009,68.31,1.17,internetAtHome,Household reference person
Illinois,IL,Oct 2010,2010,70.71,1.13,internetAtHome,Household reference person
Illinois,IL,Jul 2011,2011,72.55,1.22,internetAtHome,Household reference person
Illinois,IL,Oct 2012,2012,77.84,0.89,internetAtHome,Household reference person
Illinois,IL,Jul 2013,2013,76.19,1.4,internetAtHome,Household reference person
Illinois,IL,Jul 2015,2015,78.06,1.17,internetAtHome,Household reference person
Illinois,IL,Nov 2017,2017,81.86,1.28,internetAtHome,Household reference person
Illinois,IL,Nov 2019,2019,83.85,1.39,internetAtHome,Household reference person
Illinois,IL,Nov 2021,2021,87.49,0.96,internetAtHome,Household reference person
Illinois,IL,Nov 2023,2023,88.14,1.06,internetAtHome,Household reference person
Indiana,IN,Dec 1998,1998,26.08,1.74,internetAtHome,Household reference person
Indiana,IN,Aug 2000,2000,39.59,1.94,internetAtHome,Household reference person
Indiana,IN,Sep 2001,2001,47.21,1.56,internetAtHome,Household reference person
Indiana,IN,Oct 2003,2003,51.17,1.54,internetAtHome,Household reference person
Indiana,IN,Oct 2007,2007,58.14,1.69,internetAtHome,Household reference person
Indiana,IN,Oct 2009,2009,62.51,1.68,internetAtHome,Household reference person
Indiana,IN,Oct 2010,2010,61.29,1.69,internetAtHome,Household reference person
Indiana,IN,Jul 2011,2011,67.9,1.73,internetAtHome,Household reference person
Indiana,IN,Oct 2012,2012,71.66,1.45,internetAtHome,Household reference person
Indiana,IN,Jul 2013,2013,70.83,1.86,internetAtHome,Household reference person
Indiana,IN,Jul 2015,2015,73.51,1.79,internetAtHome,Household reference person
Indiana,IN,Nov 2017,2017,76.4,1.43,internetAtHome,Household reference person
Indiana,IN,Nov 2019,2019,80.67,1.44,internetAtHome,Household reference person
Indiana,IN,Nov 2021,2021,84.72,2.11,internetAtHome,Household reference person
Indiana,IN,Nov 2023,2023,80.57,1.84,internetAtHome,Household reference person
Iowa,IA,Dec 1998,1998,21.76,1.61,internetAtHome,Household reference person
Iowa,IA,Aug 2000,2000,38.89,1.93,internetAtHome,Household reference person
Iowa,IA,Sep 2001,2001,50.92,1.6,internetAtHome,Household reference person
Iowa,IA,Oct 2003,2003,57.11,1.59,internetAtHome,Household reference person
Iowa,IA,Oct 2007,2007,62.4,1.5,internetAtHome,Household reference person
Iowa,IA,Oct 2009,2009,67.79,1.46,internetAtHome,Household reference person
Iowa,IA,Oct 2010,2010,70.7,1.4,internetAtHome,Household reference person
Iowa,IA,Jul 2011,2011,71.62,1.53,internetAtHome,Household reference person
Iowa,IA,Oct 2012,2012,74.91,1.29,internetAtHome,Household reference person
Iowa,IA,Jul 2013,2013,75.44,1.96,internetAtHome,Household reference person
Iowa,IA,Jul 2015,2015,74.74,2.25,internetAtHome,Household reference person
Iowa,IA,Nov 2017,2017,80.16,1.84,internetAtHome,Household reference person
Iowa,IA,Nov 2019,2019,81.74,1.45,internetAtHome,Household reference person
Iowa,IA,Nov 2021,2021,82.06,2.36,internetAtHome,Household reference person
Iowa,IA,Nov 2023,2023,83.7,2.04,internetAtHome,Household reference person
Kansas,KS,Dec 1998,1998,25.86,1.74,internetAtHome,Household reference person
Kansas,KS,Aug 2000,2000,44.15,2.0,internetAtHome,Household reference person
Kansas,KS,Sep 2001,2001,51.0,1.64,internetAtHome,Household reference person
Kansas,KS,Oct 2003,2003,54.45,1.62,internetAtHome,Household reference person
Kansas,KS,Oct 2007,2007,62.87,1.71,internetAtHome,Household reference person
Kansas,KS,Oct 2009,2009,70.48,1.63,internetAtHome,Household reference person
Kansas,KS,Oct 2010,2010,76.38,1.5,internetAtHome,Household reference person
Kansas,KS,Jul 2011,2011,75.15,1.56,internetAtHome,Household reference person
Kansas,KS,Oct 2012,2012,75.97,2.12,internetAtHome,Household reference person
Kansas,KS,Jul 2013,2013,73.87,2.55,internetAtHome,Household reference person
Kansas,KS,Jul 2015,2015,72.95,1.91,internetAtHome,Household reference person
Kansas,KS,Nov 2017,2017,77.19,2.49,internetAtHome,Household reference person
Kansas,KS,Nov 2019,2019,80.82,2.96,internetAtHome,Household reference person
Kansas,KS,Nov 2021,2021,85.41,1.78,internetAtHome,Household reference person
Kansas,KS,Nov 2023,2023,82.51,1.76,internetAtHome,Household reference person
Kentucky,KY,Dec 1998,1998,21.55,1.59,internetAtHome,Household reference person
Kentucky,KY,Aug 2000,2000,36.67,1.92,internetAtHome,Household reference person
Kentucky,KY,Sep 2001,2001,44.27,1.78,internetAtHome,Household reference person
Kentucky,KY,Oct 2003,2003,49.91,1.82,internetAtHome,Household reference person
Kentucky,KY,Oct 2007,2007,54.86,1.78,internetAtHome,Household reference person
Kentucky,KY,Oct 2009,2009,59.49,1.78,internetAtHome,Household reference person
Kentucky,KY,Oct 2010,2010,61.27,1.73,internetAtHome,Household reference person
Kentucky,KY,Jul 2011,2011,65.64,2.26,internetAtHome,Household reference person
Kentucky,KY,Oct 2012,2012,68.55,2.24,internetAtHome,Household reference person
Kentucky,KY,Jul 2013,2013,69.66,2.35,internetAtHome,Household reference person
Kentucky,KY,Jul 2015,2015,73.56,1.34,internetAtHome,Household reference person
Kentucky,KY,Nov 2017,2017,72.61,2.84,internetAtHome,Household reference person
Kentucky,KY,Nov 2019,2019,76.17,1.54,internetAtHome,Household reference person
Kentucky,KY,Nov 2021,2021,80.15,2.32,internetAtHome,Household reference person
Kentucky,KY,Nov 2023,2023,86.98,1.81,internetAtHome,Household reference person
Louisiana,LA,Dec 1998,1998,18.53,1.55,internetAtHome,Household reference person
Louisiana,LA,Aug 2000,2000,30.83,1.86,internetAtHome,Household reference person
Louisiana,LA,Sep 2001,2001,40.54,1.97,internetAtHome,Household reference person
Louisiana,LA,Oct 2003,2003,44.11,2.01,internetAtHome,Household reference person
Louisiana,LA,Oct 2007,2007,54.2,2.2,internetAtHome,Household reference person
Louisiana,LA,Oct 2009,2009,60.59,2.15,internetAtHome,Household reference person
Louisiana,LA,Oct 2010,2010,62.81,2.12,internetAtHome,Household reference person
Louisiana,LA,Jul 2011,2011,65.55,2.05,internetAtHome,Household reference person
Louisiana,LA,Oct 2012,2012,60.72,2.87,internetAtHome,Household reference person
Louisiana,LA,Jul 2013,2013,67.03,2.28,internetAtHome,Household reference person
Louisiana,LA,Jul 2015,2015,69.68,1.39,internetAtHome,Household reference person
Louisiana,LA,Nov 2017,2017,76.46,1.36,internetAtHome,Household reference person
Louisiana,LA,Nov 2019,2019,75.69,1.16,internetAtHome,Household reference person
Louisiana,LA,Nov 2021,2021,82.98,1.23,internetAtHome,Household reference person
Louisiana,LA,Nov 2023,2023,80.46,1.18,internetAtHome,Household reference person
Maine,ME,Dec 1998,1998,26.05,1.87,internetAtHome,Household reference person
Maine,ME,Aug 2000,2000,42.28,2.15,internetAtHome,Household reference person
Maine,ME,Sep 2001,2001,53.21,1.6,internetAtHome,Household reference person
Maine,ME,Oct 2003,2003,58.11,1.54,internetAtHome,Household reference person
Maine,ME,Oct 2007,2007,65.23,1.46,internetAtHome,Household reference person
Maine,ME,Oct 2009,2009,70.19,1.41,internetAtHome,Household reference person
Maine,ME,Oct 2010,2010,73.36,1.36,internetAtHome,Household reference person
Maine,ME,Jul 2011,2011,74.66,1.36,internetAtHome,Household reference person
Maine,ME,Oct 2012,2012,77.06,1.6,internetAtHome,Household reference person
Maine,ME,Jul 2013,2013,78.01,1.52,internetAtHome,Household reference person
Maine,ME,Jul 2015,2015,75.81,1.84,internetAtHome,Household reference person
Maine,ME,Nov 2017,2017,83.05,1.59,internetAtHome,Household reference person
Maine,ME,Nov 2019,2019,80.03,2.67,internetAtHome,Household reference person
Maine,ME,Nov 2021,2021,84.61,2.08,internetAtHome,Household reference person
Maine,ME,Nov 2023,2023,88.0,1.73,internetAtHome,Household reference person
Maryland,MD,Dec 1998,1998,31.07,2.05,internetAtHome,Household reference person
Maryland,MD,Aug 2000,2000,43.61,2.18,internetAtHome,Household reference person
Maryland,MD,Sep 2001,2001,57.89,1.67,internetAtHome,Household reference person
Maryland,MD,Oct 2003,2003,59.44,1.75,internetAtHome,Household reference person
Maryland,MD,Oct 2007,2007,66.48,1.36,internetAtHome,Household reference person
Maryland,MD,Oct 2009,2009,73.37,1.27,internetAtHome,Household reference person
Maryland,MD,Oct 2010,2010,76.34,1.22,internetAtHome,Household reference person
Maryland,MD,Jul 2011,2011,76.86,1.25,internetAtHome,Household reference person
Maryland,MD,Oct 2012,2012,79.3,1.26,internetAtHome,Household reference person
Maryland,MD,Jul 2013,2013,78.0,1.39,internetAtHome,Household reference person
Maryland,MD,Jul 2015,2015,80.57,1.46,internetAtHome,Household reference person
Maryland,MD,Nov 2017,2017,80.45,1.79,internetAtHome,Household reference person
Maryland,MD,Nov 2019,2019,85.85,1.67,internetAtHome,Household reference person
Maryland,MD,Nov 2021,2021,85.83,1.71,internetAtHome,Household reference person
Maryland,MD,Nov 2023,2023,89.71,1.59,internetAtHome,Household reference person
Massachusetts,MA,Dec 1998,1998,28.37,1.31,internetAtHome,Household reference person
Massachusetts,MA,Aug 2000,2000,45.33,1.5,internetAtHome,Household reference person
Massachusetts,MA,Sep 2001,2001,54.68,1.52,internetAtHome,Household reference person
Massachusetts,MA,Oct 2003,2003,58.1,1.49,internetAtHome,Household reference person
Massachusetts,MA,Oct 2007,2007,66.39,1.67,internetAtHome,Household reference person
Massachusetts,MA,Oct 2009,2009,75.85,1.49,internetAtHome,Household reference person
Massachusetts,MA,Oct 2010,2010,77.53,1.45,internetAtHome,Household reference person
Massachusetts,MA,Jul 2011,2011,77.37,1.5,internetAtHome,Household reference person
Massachusetts,MA,Oct 2012,2012,79.45,1.29,internetAtHome,Household reference person
Massachusetts,MA,Jul 2013,2013,81.38,1.76,internetAtHome,Household reference person
Massachusetts,MA,Jul 2015,2015,74.91,1.61,internetAtHome,Household reference person
Massachusetts,MA,Nov 2017,2017,75.89,1.24,internetAtHome,Household reference person
Massachusetts,MA,Nov 2019,2019,79.42,1.41,internetAtHome,Household reference person
Massachusetts,MA,Nov 2021,2021,81.15,1.18,internetAtHome,Household reference person
Massachusetts,MA,Nov 2023,2023,85.58,1.24,internetAtHome,Household reference person
Michigan,MI,Dec 1998,1998,25.37,1.09,internetAtHome,Household reference person
Michigan,MI,Aug 2000,2000,42.04,1.26,internetAtHome,Household reference person
Michigan,MI,Sep 2001,2001,51.11,1.28,internetAtHome,Household reference person
Michigan,MI,Oct 2003,2003,51.99,1.29,internetAtHome,Household reference person
Michigan,MI,Oct 2007,2007,58.6,1.36,internetAtHome,Household reference person
Michigan,MI,Oct 2009,2009,68.03,1.31,internetAtHome,Household reference person
Michigan,MI,Oct 2010,2010,69.76,1.28,internetAtHome,Household reference person
Michigan,MI,Jul 2011,2011,72.72,1.25,internetAtHome,Household reference person
Michigan,MI,Oct 2012,2012,74.54,1.39,internetAtHome,Household reference person
Michigan,MI,Jul 2013,2013,72.42,1.54,internetAtHome,Household reference person
Michigan,MI,Jul 2015,2015,71.16,1.55,internetAtHome,Household reference person
Michigan,MI,Nov 2017,2017,76.24,1.26,internetAtHome,Household reference person
Michigan,MI,Nov 2019,2019,80.55,1.3,internetAtHome,Household reference person
Michigan,MI,Nov 2021,2021,83.21,1.39,internetAtHome,Household reference person
Michigan,MI,Nov 2023,2023,86.6,1.3,internetAtHome,Household reference person
Minnesota,MN,Dec 1998,1998,29.03,1.72,internetAtHome,Household reference person
Minnesota,MN,Aug 2000,2000,42.94,1.89,internetAtHome,Household reference person
Minnesota,MN,Sep 2001,2001,55.48,1.51,internetAtHome,Household reference person
Minnesota,MN,Oct 2003,2003,61.73,1.54,internetAtHome,Household reference person
Minnesota,MN,Oct 2007,2007,66.64,1.3,internetAtHome,Household reference person
Minnesota,MN,Oct 2009,2009,72.38,1.22,internetAtHome,Household reference person
Minnesota,MN,Oct 2010,2010,73.65,1.21,internetAtHome,Household reference person
Minnesota,MN,Jul 2011,2011,78.46,1.2,internetAtHome,Household reference person
Minnesota,MN,Oct 2012,2012,82.42,1.14,internetAtHome,Household reference person
